president,subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,approve,disapprove,adjusted_approve,adjusted_disapprove,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
Donald Trump,All polls,9/11/2019,1/20/2017,1/22/2017,Gallup,B,1500,a,.2454292,0,45,45,46.1321,43.29396,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49253,77265,1/23/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,1/20/2017,1/22/2017,Morning Consult,B-,1992,rv,.9442063,0,46,37,44.36335,38.6701,"","",http://static.politico.com/9b/13/82a3baf542ae9018e5b6e1008379/170103-topline-politico-v3-kd.pdf,49249,77261,1/23/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,1/21/2017,1/23/2017,Gallup,B,1500,a,.226788,0,45,46,46.1321,44.29396,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49262,77274,1/24/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,1/20/2017,1/24/2017,Ipsos,B+,1632,a,.224456,0,42.1,45.2,42.86605,43.94121,"",T,http://polling.reuters.com/#poll/CP3_2/,49426,77599,3/1/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,1/22/2017,1/24/2017,Gallup,B,1500,a,.2120474,0,46,45,47.1321,43.29396,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49236,77248,1/25/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,1/22/2017,1/24/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.2203903,0,57,43,51.40622,44.28963,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49266,77278,1/25/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,1/21/2017,1/25/2017,Ipsos,B+,1651,a,.2099484,0,42.3,45.8,43.06605,44.54121,"",T,http://polling.reuters.com/#poll/CP3_2/,49425,77598,3/1/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,1/20/2017,1/25/2017,Quinnipiac University,A-,1190,rv,1.644662,0,36,44,37.82228,42.64786,"","",https://poll.qu.edu/national/release-detail?ReleaseID=2415,49260,77272,1/26/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,1/23/2017,1/25/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.20477,0,59,41,53.40622,42.28963,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49247,77259,1/26/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,1/22/2017,1/26/2017,Ipsos,B+,1678,a,.1992776,0,42.6,46.4,43.36605,45.14121,"",T,http://polling.reuters.com/#poll/CP3_2/,49424,77597,3/1/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,1/23/2017,1/25/2017,Gallup,B,1500,a,.2001678,0,46,45,47.1321,43.29396,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49245,77257,1/26/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,1/23/2017,1/24/2017,Public Policy Polling,B,1043,rv,1.165807,0,44,44,43.47736,44.27782,"","",http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_12617.pdf,49237,77249,1/25/2017,17:50:42 11 Sep 2019
Donald Trump,All polls,9/11/2019,1/23/2017,1/25/2017,YouGov,B,2692,a,1.577144,0,41,35,41.92881,37.31638,"","",http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/31rwbl7mh1/econToplines.pdf,49254,77266,1/26/2017,17:50:42 11 Sep 2019
