state,id,Side Dish
Alabama,1,Mac & Cheese
Alaska,2,Salad
Arizona,4,Salad
Arkansas,5,Cornbread
California,6,Salad
Colorado,8,Salad
Connecticut,9,Squash
Delaware,10,Squash
Florida,12,Mac & Cheese
Georgia,13,Mac & Cheese
Hawaii,15,Salad
Idaho,16,Salad
Illinois,17,Rolls
Indiana,18,Rolls
Iowa,19,Green Beans
Kansas,20,Green Beans
Kentucky,21,Mac & Cheese
Louisiana,22,Cornbread
Maine,23,Squash
Maryland,24,Squash
Massachusetts,25,Squash
Michigan,26,Rolls
Minnesota,27,Green Beans
Mississippi,28,Mac & Cheese
Missouri,29,Green Beans
Montana,30,Salad
Nebraska,31,Green Beans
Nevada,32,Salad
New Hampshire,33,Squash
New Jersey,34,Squash
New Mexico,35,Salad
New York,36,Squash
North Carolina,37,Mac & Cheese
North Dakota,38,Green Beans
Ohio,39,Rolls
Oklahoma,40,Cornbread
Oregon,41,Salad
Pennsylvania,42,Squash
Rhode Island,44,Squash
South Carolina,45,Mac & Cheese
South Dakota,46,Green Beans
Tennessee,47,Mac & Cheese
Texas,48,Cornbread
Utah,49,Salad
Vermont,50,Squash
Virginia,51,Mac & Cheese
Washington,53,Salad
West Virginia,54,Mac & Cheese
Wisconsin,55,Rolls
Wyoming,56,Salad
